"Time stamp","Dina Foods  - Total  (kWh)","Dina Foods temperatures (℃)"
"2021-08-01 00:00","47.71","15.06"
"2021-08-01 01:00","53.87","14.94"
"2021-08-01 02:00","50.19","14.78"
"2021-08-01 03:00","48.13","14.56"
"2021-08-01 04:00","44.67","14.37"
"2021-08-01 05:00","96.52","14.32"
"2021-08-01 06:00","114.04","14.68"
"2021-08-01 07:00","138.26","15.0"
"2021-08-01 08:00","135.52","15.74"
"2021-08-01 09:00","122.12","16.6"
"2021-08-01 10:00","142.79","17.54"
"2021-08-01 11:00","140.78","18.43"
"2021-08-01 12:00","144.09","19.51"
"2021-08-01 13:00","153.91","19.82"
"2021-08-01 14:00","200.09","19.48"
"2021-08-01 15:00","109.57","19.35"
"2021-08-01 16:00","94.14","18.93"
"2021-08-01 17:00","88.94","18.9"
"2021-08-01 18:00","84.52","18.27"
"2021-08-01 19:00","83.87","17.45"
"2021-08-01 20:00","97.67","16.3"
"2021-08-01 21:00","118.43","15.62"
"2021-08-01 22:00","109.43","14.69"
"2021-08-01 23:00","116.94","13.67"
"2021-08-02 00:00","114.48","13.05"
"2021-08-02 01:00","112.77","12.73"
"2021-08-02 02:00","115.85","12.56"
"2021-08-02 03:00","122.62","12.32"
"2021-08-02 04:00","136.68","12.12"
"2021-08-02 05:00","138.29","12.17"
"2021-08-02 06:00","141.88","12.56"
"2021-08-02 07:00","173.15","14.2"
"2021-08-02 08:00","190.61","15.87"
"2021-08-02 09:00","225.05","17.01"
"2021-08-02 10:00","226.38","18.25"
"2021-08-02 11:00","218.65","19.12"
"2021-08-02 12:00","209.14","19.14"
"2021-08-02 13:00","177.29","18.64"
"2021-08-02 14:00","176.56","18.23"
"2021-08-02 15:00","166.83","17.87"
"2021-08-02 16:00","164.54","17.92"
"2021-08-02 17:00","154.5","17.44"
"2021-08-02 18:00","128.18","16.97"
"2021-08-02 19:00","119.06","16.46"
"2021-08-02 20:00","111.99","15.85"
"2021-08-02 21:00","132.79","15.26"
"2021-08-02 22:00","119.81","14.8"
"2021-08-02 23:00","127.48","14.39"
"2021-08-03 00:00","117.79","13.78"
"2021-08-03 01:00","119.09","12.95"
"2021-08-03 02:00","128.52","12.27"
"2021-08-03 03:00","124.67","11.88"
"2021-08-03 04:00","101.66","11.47"
"2021-08-03 05:00","132.53","11.24"
"2021-08-03 06:00","146.58","11.99"
"2021-08-03 07:00","187.26","13.24"
"2021-08-03 08:00","184.63","14.89"
"2021-08-03 09:00","216.8","16.73"
"2021-08-03 10:00","223.18","17.94"
"2021-08-03 11:00","217.86","19.37"
"2021-08-03 12:00","173.94","20.22"
"2021-08-03 13:00","171.05","20.38"
"2021-08-03 14:00","171.47","20.57"
"2021-08-03 15:00","182.22","20.53"
"2021-08-03 16:00","174.78","19.91"
"2021-08-03 17:00","152.67","19.38"
"2021-08-03 18:00","130.81","19.05"
"2021-08-03 19:00","122.0","18.2"
"2021-08-03 20:00","135.49","17.05"
"2021-08-03 21:00","132.79","15.93"
"2021-08-03 22:00","123.35","14.89"
"2021-08-03 23:00","123.51","14.16"
"2021-08-04 00:00","112.67","13.23"
"2021-08-04 01:00","125.66","12.64"
"2021-08-04 02:00","124.57","12.0"
"2021-08-04 03:00","116.39","11.56"
"2021-08-04 04:00","114.4","11.52"
"2021-08-04 05:00","121.56","11.43"
"2021-08-04 06:00","143.2","12.27"
"2021-08-04 07:00","189.91","14.09"
"2021-08-04 08:00","198.07","16.16"
"2021-08-04 09:00","233.25","17.7"
"2021-08-04 10:00","218.52","19.0"
"2021-08-04 11:00","205.09","20.03"
"2021-08-04 12:00","211.18","21.0"
"2021-08-04 13:00","211.64","21.51"
"2021-08-04 14:00","212.94","21.9"
"2021-08-04 15:00","194.49","21.78"
"2021-08-04 16:00","153.96","21.69"
"2021-08-04 17:00","133.33","21.74"
"2021-08-04 18:00","131.65","20.84"
"2021-08-04 19:00","116.68","19.98"
"2021-08-04 20:00","131.0","18.65"
"2021-08-04 21:00","134.32","17.26"
"2021-08-04 22:00","128.57","16.18"
"2021-08-04 23:00","135.77","15.49"
"2021-08-05 00:00","122.98","14.57"
"2021-08-05 01:00","118.3","14.0"
"2021-08-05 02:00","135.56","13.59"
"2021-08-05 03:00","128.53","13.38"
"2021-08-05 04:00","121.78","13.0"
"2021-08-05 05:00","135.75","12.55"
"2021-08-05 06:00","160.0","13.09"
"2021-08-05 07:00","185.56","15.21"
"2021-08-05 08:00","207.49","17.16"
"2021-08-05 09:00","234.87","18.45"
"2021-08-05 10:00","228.3","19.76"
"2021-08-05 11:00","199.89","20.13"
"2021-08-05 12:00","201.57","20.29"
"2021-08-05 13:00","179.41","20.04"
"2021-08-05 14:00","163.86","19.59"
"2021-08-05 15:00","140.61","18.28"
"2021-08-05 16:00","128.23","17.73"
"2021-08-05 17:00","122.58","16.94"
"2021-08-05 18:00","116.35","16.83"
"2021-08-05 19:00","109.7","16.73"
"2021-08-05 20:00","124.95","16.48"
"2021-08-05 21:00","137.95","16.17"
"2021-08-05 22:00","118.35","16.07"
"2021-08-05 23:00","116.17","15.99"
"2021-08-06 00:00","125.4","15.93"
"2021-08-06 01:00","131.19","15.89"
"2021-08-06 02:00","124.35","15.65"
"2021-08-06 03:00","108.97","15.51"
"2021-08-06 04:00","108.48","15.47"
"2021-08-06 05:00","141.95","15.54"
"2021-08-06 06:00","163.25","15.76"
"2021-08-06 07:00","182.65","16.35"
"2021-08-06 08:00","192.31","17.11"
"2021-08-06 09:00","184.08","17.94"
"2021-08-06 10:00","182.3","18.62"
"2021-08-06 11:00","185.69","19.38"
"2021-08-06 12:00","184.48","20.14"
"2021-08-06 13:00","179.13","21.35"
"2021-08-06 14:00","180.15","21.58"
"2021-08-06 15:00","171.55","19.66"
"2021-08-06 16:00","155.14","18.64"
"2021-08-06 17:00","136.05","17.57"
"2021-08-06 18:00","140.87","17.29"
"2021-08-06 19:00","129.79","16.46"
"2021-08-06 20:00","138.79","15.44"
"2021-08-06 21:00","147.18","14.84"
"2021-08-06 22:00","130.24","14.29"
"2021-08-06 23:00","118.4","13.92"
"2021-08-07 00:00","125.39","13.61"
"2021-08-07 01:00","123.86","13.57"
"2021-08-07 02:00","121.64","13.82"
"2021-08-07 03:00","162.31","14.05"
"2021-08-07 04:00","103.29","14.01"
"2021-08-07 05:00","105.08","13.78"
"2021-08-07 06:00","98.38","13.85"
"2021-08-07 07:00","100.77","13.98"
"2021-08-07 08:00","89.59","14.19"
"2021-08-07 09:00","88.04","14.73"
"2021-08-07 10:00","79.4","15.5"
"2021-08-07 11:00","77.84","16.64"
"2021-08-07 12:00","81.09","18.17"
"2021-08-07 13:00","75.8","18.78"
"2021-08-07 14:00","73.01","19.33"
"2021-08-07 15:00","60.9","19.05"
"2021-08-07 16:00","61.25","18.93"
"2021-08-07 17:00","60.86","18.43"
"2021-08-07 18:00","54.37","17.95"
"2021-08-07 19:00","46.57","17.31"
"2021-08-07 20:00","51.32","16.4"
"2021-08-07 21:00","52.09","15.75"
"2021-08-07 22:00","51.0","15.51"
"2021-08-07 23:00","46.74","15.37"
"2021-08-08 00:00","44.47","14.86"
"2021-08-08 01:00","52.36","14.24"
"2021-08-08 02:00","47.0","13.92"
"2021-08-08 03:00","45.72","13.46"
"2021-08-08 04:00","40.59","13.26"
"2021-08-08 05:00","91.55","13.25"
"2021-08-08 06:00","104.35","13.75"
"2021-08-08 07:00","129.13","14.97"
"2021-08-08 08:00","131.03","14.92"
"2021-08-08 09:00","134.18","14.62"
"2021-08-08 10:00","141.68","15.15"
"2021-08-08 11:00","137.5","15.76"
"2021-08-08 12:00","141.49","16.96"
"2021-08-08 13:00","140.83","18.31"
"2021-08-08 14:00","111.72","19.03"
"2021-08-08 15:00","91.33","18.71"
"2021-08-08 16:00","72.44","17.73"
"2021-08-08 17:00","73.64","18.06"
"2021-08-08 18:00","71.32","17.9"
"2021-08-08 19:00","72.22","17.21"
"2021-08-08 20:00","95.29","15.97"
"2021-08-08 21:00","118.37","14.86"
"2021-08-08 22:00","108.68","14.17"
"2021-08-08 23:00","106.27","13.81"
"2021-08-09 00:00","111.97","13.64"
"2021-08-09 01:00","112.62","13.27"
"2021-08-09 02:00","99.03","13.15"
"2021-08-09 03:00","116.38","13.43"
"2021-08-09 04:00","122.21","13.63"
"2021-08-09 05:00","129.06","13.65"
"2021-08-09 06:00","139.9","13.59"
"2021-08-09 07:00","176.97","13.95"
"2021-08-09 08:00","175.55","14.44"
"2021-08-09 09:00","210.49","15.69"
"2021-08-09 10:00","217.32","17.22"
"2021-08-09 11:00","242.67","19.06"
"2021-08-09 12:00","196.1","20.29"
"2021-08-09 13:00","169.34","20.73"
"2021-08-09 14:00","177.24","20.05"
"2021-08-09 15:00","159.61","19.76"
"2021-08-09 16:00","154.66","18.52"
"2021-08-09 17:00","135.58","16.67"
"2021-08-09 18:00","126.34","15.95"
"2021-08-09 19:00","105.32","15.73"
"2021-08-09 20:00","115.35","15.33"
"2021-08-09 21:00","130.62","15.29"
"2021-08-09 22:00","128.67","15.1"
"2021-08-09 23:00","117.39","14.72"
"2021-08-10 00:00","105.4","14.27"
"2021-08-10 01:00","117.93","13.95"
"2021-08-10 02:00","130.9","13.75"
"2021-08-10 03:00","126.06","13.61"
"2021-08-10 04:00","126.04","13.27"
"2021-08-10 05:00","126.3","12.98"
"2021-08-10 06:00","133.2","13.27"
"2021-08-10 07:00","169.14","14.05"
"2021-08-10 08:00","174.64","14.98"
"2021-08-10 09:00","202.57","16.72"
"2021-08-10 10:00","201.77","18.36"
"2021-08-10 11:00","183.91","19.83"
"2021-08-10 12:00","191.54","21.32"
"2021-08-10 13:00","188.6","22.01"
"2021-08-10 14:00","185.87","22.34"
"2021-08-10 15:00","163.66","22.84"
"2021-08-10 16:00","130.74","22.65"
"2021-08-10 17:00","121.36","22.4"
"2021-08-10 18:00","123.2","21.89"
"2021-08-10 19:00","134.84","20.62"
"2021-08-10 20:00","127.15","19.27"
