Time stamp,Total_kWh,Temperatures_in_Cel
8/1/2021 0:00,47.71,15.06
8/1/2021 1:00,53.87,14.94
8/1/2021 2:00,50.19,14.78
8/1/2021 3:00,48.13,14.56
8/1/2021 4:00,44.67,14.37
8/1/2021 5:00,96.52,14.32
8/1/2021 6:00,114.04,14.68
8/1/2021 7:00,138.26,15
8/1/2021 8:00,135.52,15.74
8/1/2021 9:00,122.12,16.6
8/1/2021 10:00,142.79,17.54
8/1/2021 11:00,140.78,18.43
8/1/2021 12:00,144.09,19.51
8/1/2021 13:00,153.91,19.82
8/1/2021 14:00,200.09,19.48
8/1/2021 15:00,109.57,19.35
8/1/2021 16:00,94.14,18.93
8/1/2021 17:00,88.94,18.9
8/1/2021 18:00,84.52,18.27
8/1/2021 19:00,83.87,17.45
8/1/2021 20:00,97.67,16.3
8/1/2021 21:00,118.43,15.62
8/1/2021 22:00,109.43,14.69
8/1/2021 23:00,116.94,13.67
8/2/2021 0:00,114.48,13.05
8/2/2021 1:00,112.77,12.73
8/2/2021 2:00,115.85,12.56
8/2/2021 3:00,122.62,12.32
8/2/2021 4:00,136.68,12.12
8/2/2021 5:00,138.29,12.17
8/2/2021 6:00,141.88,12.56
8/2/2021 7:00,173.15,14.2
8/2/2021 8:00,190.61,15.87
8/2/2021 9:00,225.05,17.01
8/2/2021 10:00,226.38,18.25
8/2/2021 11:00,218.65,19.12
8/2/2021 12:00,209.14,19.14
8/2/2021 13:00,177.29,18.64
8/2/2021 14:00,176.56,18.23
8/2/2021 15:00,166.83,17.87
8/2/2021 16:00,164.54,17.92
8/2/2021 17:00,154.5,17.44
8/2/2021 18:00,128.18,16.97
8/2/2021 19:00,119.06,16.46
8/2/2021 20:00,111.99,15.85
8/2/2021 21:00,132.79,15.26
8/2/2021 22:00,119.81,14.8
8/2/2021 23:00,127.48,14.39
8/3/2021 0:00,117.79,13.78
8/3/2021 1:00,119.09,12.95
8/3/2021 2:00,128.52,12.27
8/3/2021 3:00,124.67,11.88
8/3/2021 4:00,101.66,11.47
8/3/2021 5:00,132.53,11.24
8/3/2021 6:00,146.58,11.99
8/3/2021 7:00,187.26,13.24
8/3/2021 8:00,184.63,14.89
8/3/2021 9:00,216.8,16.73
8/3/2021 10:00,223.18,17.94
8/3/2021 11:00,217.86,19.37
8/3/2021 12:00,173.94,20.22
8/3/2021 13:00,171.05,20.38
