Time_stamp,Total_kwh
8/1/2021 0:00,47.71
8/1/2021 1:00,53.87
8/1/2021 2:00,50.19
8/1/2021 3:00,48.13
8/1/2021 4:00,44.67
8/1/2021 5:00,96.52
8/1/2021 6:00,114.04
8/1/2021 7:00,138.26
8/1/2021 8:00,135.52
8/1/2021 9:00,122.12
8/1/2021 10:00,142.79
8/1/2021 11:00,140.78
8/1/2021 12:00,144.09
8/1/2021 13:00,153.91
8/1/2021 14:00,200.09
8/1/2021 15:00,109.57
8/1/2021 16:00,94.14
8/1/2021 17:00,88.94
8/1/2021 18:00,84.52
8/1/2021 19:00,83.87
8/1/2021 20:00,97.67
8/1/2021 21:00,118.43
8/1/2021 22:00,109.43
8/1/2021 23:00,116.94
8/2/2021 0:00,114.48
8/2/2021 1:00,112.77
8/2/2021 2:00,115.85
8/2/2021 3:00,122.62
8/2/2021 4:00,136.68
8/2/2021 5:00,138.29
8/2/2021 6:00,141.88
8/2/2021 7:00,173.15
8/2/2021 8:00,190.61
8/2/2021 9:00,225.05
8/2/2021 10:00,226.38
8/2/2021 11:00,218.65
8/2/2021 12:00,209.14
8/2/2021 13:00,177.29
8/2/2021 14:00,176.56
8/2/2021 15:00,166.83
8/2/2021 16:00,164.54
8/2/2021 17:00,154.5
8/2/2021 18:00,128.18
8/2/2021 19:00,119.06
8/2/2021 20:00,111.99
8/2/2021 21:00,132.79
8/2/2021 22:00,119.81
8/2/2021 23:00,127.48
8/3/2021 0:00,117.79
8/3/2021 1:00,119.09
8/3/2021 2:00,128.52
8/3/2021 3:00,124.67
8/3/2021 4:00,101.66
8/3/2021 5:00,132.53
8/3/2021 6:00,146.58
8/3/2021 7:00,187.26
8/3/2021 8:00,184.63
8/3/2021 9:00,216.8
8/3/2021 10:00,223.18
8/3/2021 11:00,217.86
8/3/2021 12:00,173.94
8/3/2021 13:00,171.05
8/3/2021 14:00,171.47
8/3/2021 15:00,182.22
8/3/2021 16:00,174.78
8/3/2021 17:00,152.67
8/3/2021 18:00,130.81
8/3/2021 19:00,122
8/3/2021 20:00,135.49
8/3/2021 21:00,132.79
8/3/2021 22:00,123.35
8/3/2021 23:00,123.51
8/4/2021 0:00,112.67
8/4/2021 1:00,125.66
8/4/2021 2:00,124.57
8/4/2021 3:00,116.39
8/4/2021 4:00,114.4
8/4/2021 5:00,121.56
8/4/2021 6:00,143.2
8/4/2021 7:00,189.91
8/4/2021 8:00,198.07
8/4/2021 9:00,233.25
8/4/2021 10:00,218.52
8/4/2021 11:00,205.09
8/4/2021 12:00,211.18
8/4/2021 13:00,211.64
8/4/2021 14:00,212.94
8/4/2021 15:00,194.49
8/4/2021 16:00,153.96
8/4/2021 17:00,133.33
8/4/2021 18:00,131.65
8/4/2021 19:00,116.68
8/4/2021 20:00,131
8/4/2021 21:00,134.32
8/4/2021 22:00,128.57
8/4/2021 23:00,135.77
8/5/2021 0:00,122.98
8/5/2021 1:00,118.3
8/5/2021 2:00,135.56
8/5/2021 3:00,128.53
8/5/2021 4:00,121.78
8/5/2021 5:00,135.75
8/5/2021 6:00,160
8/5/2021 7:00,185.56
8/5/2021 8:00,207.49
8/5/2021 9:00,234.87
8/5/2021 10:00,228.3
8/5/2021 11:00,199.89
8/5/2021 12:00,201.57
8/5/2021 13:00,179.41
8/5/2021 14:00,163.86
8/5/2021 15:00,140.61
8/5/2021 16:00,128.23
8/5/2021 17:00,122.58
8/5/2021 18:00,116.35
8/5/2021 19:00,109.7
8/5/2021 20:00,124.95
8/5/2021 21:00,137.95
8/5/2021 22:00,118.35
8/5/2021 23:00,116.17
8/6/2021 0:00,125.4
8/6/2021 1:00,131.19
8/6/2021 2:00,124.35
8/6/2021 3:00,108.97
8/6/2021 4:00,108.48
8/6/2021 5:00,141.95
8/6/2021 6:00,163.25
8/6/2021 7:00,182.65
8/6/2021 8:00,192.31
8/6/2021 9:00,184.08
8/6/2021 10:00,182.3
8/6/2021 11:00,185.69
8/6/2021 12:00,184.48
8/6/2021 13:00,179.13
8/6/2021 14:00,180.15
8/6/2021 15:00,171.55
8/6/2021 16:00,155.14
8/6/2021 17:00,136.05
8/6/2021 18:00,140.87
8/6/2021 19:00,129.79
8/6/2021 20:00,138.79
8/6/2021 21:00,147.18
8/6/2021 22:00,130.24
8/6/2021 23:00,118.4
8/7/2021 0:00,125.39
8/7/2021 1:00,123.86
8/7/2021 2:00,121.64
8/7/2021 3:00,162.31
8/7/2021 4:00,103.29
8/7/2021 5:00,105.08
8/7/2021 6:00,98.38
8/7/2021 7:00,100.77
8/7/2021 8:00,89.59
8/7/2021 9:00,88.04
8/7/2021 10:00,79.4
8/7/2021 11:00,77.84
8/7/2021 12:00,81.09
8/7/2021 13:00,75.8
8/7/2021 14:00,73.01
8/7/2021 15:00,60.9
8/7/2021 16:00,61.25
8/7/2021 17:00,60.86
8/7/2021 18:00,54.37
8/7/2021 19:00,46.57
8/7/2021 20:00,51.32
8/7/2021 21:00,52.09
8/7/2021 22:00,51
8/7/2021 23:00,46.74
8/8/2021 0:00,44.47
8/8/2021 1:00,52.36
8/8/2021 2:00,47
8/8/2021 3:00,45.72
8/8/2021 4:00,40.59
8/8/2021 5:00,91.55
8/8/2021 6:00,104.35
8/8/2021 7:00,129.13
8/8/2021 8:00,131.03
8/8/2021 9:00,134.18
8/8/2021 10:00,141.68
8/8/2021 11:00,137.5
8/8/2021 12:00,141.49
8/8/2021 13:00,140.83
8/8/2021 14:00,111.72
8/8/2021 15:00,91.33
8/8/2021 16:00,72.44
8/8/2021 17:00,73.64
8/8/2021 18:00,71.32
8/8/2021 19:00,72.22
8/8/2021 20:00,95.29
8/8/2021 21:00,118.37
8/8/2021 22:00,108.68
8/8/2021 23:00,106.27
8/9/2021 0:00,111.97
8/9/2021 1:00,112.62
8/9/2021 2:00,99.03
8/9/2021 3:00,116.38
8/9/2021 4:00,122.21
8/9/2021 5:00,129.06
8/9/2021 6:00,139.9
8/9/2021 7:00,176.97
8/9/2021 8:00,175.55
8/9/2021 9:00,210.49
8/9/2021 10:00,217.32
8/9/2021 11:00,242.67
8/9/2021 12:00,196.1
8/9/2021 13:00,169.34
8/9/2021 14:00,177.24
8/9/2021 15:00,159.61
8/9/2021 16:00,154.66
8/9/2021 17:00,135.58
8/9/2021 18:00,126.34
8/9/2021 19:00,105.32
8/9/2021 20:00,115.35
8/9/2021 21:00,130.62
8/9/2021 22:00,128.67
8/9/2021 23:00,117.39
8/10/2021 0:00,105.4
8/10/2021 1:00,117.93
8/10/2021 2:00,130.9
8/10/2021 3:00,126.06
8/10/2021 4:00,126.04
8/10/2021 5:00,126.3
8/10/2021 6:00,133.2
8/10/2021 7:00,169.14
8/10/2021 8:00,174.64
8/10/2021 9:00,202.57
8/10/2021 10:00,201.77
8/10/2021 11:00,183.91
8/10/2021 12:00,191.54
8/10/2021 13:00,188.6
8/10/2021 14:00,185.87
8/10/2021 15:00,163.66
8/10/2021 16:00,130.74
8/10/2021 17:00,121.36
8/10/2021 18:00,123.2
8/10/2021 19:00,134.84
8/10/2021 20:00,127.15
8/10/2021 21:00,140.54
8/10/2021 22:00,133.9
8/10/2021 23:00,135.7
8/11/2021 0:00,130.04
8/11/2021 1:00,120.74
8/11/2021 2:00,125.88
8/11/2021 3:00,121.66
8/11/2021 4:00,106.68
8/11/2021 5:00,127.55
8/11/2021 6:00,153.33
8/11/2021 7:00,176.09
8/11/2021 8:00,183.7
8/11/2021 9:00,193.23
8/11/2021 10:00,204
8/11/2021 11:00,199.67
8/11/2021 12:00,169.53
